county,T,loss
12003.0,3,"[0.0, 34394.58466716015, 0.0, 87.37128581285013, 43413.2019611319, 39.5899978896186, 0.0, 59863.37747403371, 7587.592634258257, 37225.38679603691, 17835.657600201866, 11682.25251522402, 16406.08819728077, 26945.291859101693, 306406.05992367584, 9476.072913522165, 40984.35907961965, 30226.275552012397, 2394.707441054813, 53228.140571031865, 15980.150241827585, 72529.95029861292, 10058.538101012231, 0.0, 72681.59085171061, 87736.37757575557, 0.0, 31900.19748104476, 80817.0353068966, 0.0]"
12003.0,4,"[15800.192941428611, 33744.407959741286, 0.0, 851.0746033163184, 86188.34232242205, 362.8790451104777, 0.0, 696.3732473093954, 113872.21311650166, 254.1952717624087, 0.0, 1805.0023069962938, 339979.98959314893, 22058.36807667021, 7657.423740819987, 2231.615424656883, 52447.48074607673, 109.64720898154154, 34614.05529043589, 16313.227183895442, 241.0082932646964, 73500.93097996428, 208316.30094632218, 13581.325378080664, 8533.959924675397, 24557.753370933184, 114489.0273741529, 1738.5885055409437, 248864.66464716458, 156282.39133243015]"
12003.0,5,"[80492.309888071, 6174.3979495830245, 76817.74333714216, 4412.174751309382, 34018.32642149857, 20090.82590580963, 34568.97120053682, 207557.88899716455, 28357.60864769146, 0.0, 0.0, 3257.27326825346, 154459.17550615218, 66878.77119114643, 107848.46936180347, 128413.89089456727, 60510.87443220476, 3769.4635957077026, 0.0, 0.0, 22296.664070325558, 0.0, 6726.682698545789, 12480.46671768407, 26872.17644708782, 105042.8645498022, 13066.189346259272, 42627.17190949127, 16863.399690748476, 43161.07966138521]"
12003.0,6,"[192355.19600261585, 27622.146330598, 304.8403962396598, 151936.0255755643, 234905.88283984584, 0.0, 0.0, 16699.283349661648, 117922.44938063817, 71252.08284275072, 19524.319959081437, 68785.90897801938, 3524.2657208786613, 20788.388438022506, 96496.55749768145, 0.0, 34977.50069681799, 189.94829262477117, 50999.86308556867, 25693.71526161946, 112.62035726870603, 126184.2613959355, 11181.546517396633, 39553.36838390333, 0.0, 23092.407195500316, 97338.82984238866, 72631.01260653202, 208039.1947964281, 0.0]"
12003.0,7,"[0.0, 3170.0735147959185, 132311.25031228323, 219959.25172967865, 0.0, 60998.69988662944, 22941.630002838447, 53656.31704110564, 0.0, 45361.98104052993, 4606.316198748391, 53417.8834926171, 27303.16330731277, 21595.4298252443, 20956.601942251695, 0.0, 161160.7958559772, 17713.60472131963, 78133.32341573769, 45.668721169716164, 106572.2594787075, 65899.95960991905, 2244.1504240069244, 0.0, 0.0, 16226.053348307805, 11760.472919844731, 0.0, 12832.004725246612, 0.0]"
12003.0,8,"[40830.59507448268, 162772.3505525696, 25520.9228797592, 234897.61586378442, 217641.12299697922, 275194.2861089639, 54968.79844340884, 72276.8862734038, 135364.95565729524, 17047.177217459906, 37141.46127391202, 34819.5407806436, 115211.38972841843, 0.0, 50827.96135721552, 2295.864338431309, 150151.43785844193, 0.0, 36997.97057603235, 51304.759868766596, 76232.80650526714, 65089.473891296264, 139220.73814576905, 16559.764309006903, 22.034556563299176, 62.22062933014484, 7023.704420262805, 30940.790522206276, 0.0, 0.0]"
12003.0,9,"[5838.392958824236, 187553.6807130424, 82113.99932879486, 415.8700254883456, 1920.301287347062, 3174.5058439374798, 0.0, 4876.451555631068, 121367.27430112286, 141560.3289303023, 12101.939335352037, 28835.41624374558, 196.68493903862122, 54508.439412956825, 45449.37262643804, 272615.8803915256, 0.0, 44195.761293947355, 34840.81475909293, 83.302447035673, 8865.505366920022, 21135.68498565175, 8832.88607787893, 450.5973843617141, 10671.112388120895, 0.0, 9677.686509052053, 123798.38405586958, 216947.9501921233, 27813.135972994787]"
12005.0,0,"[3294639.4848556286, 980327.9540790715, 9001799.877316829, 10476606.099234294, 1747893.60442911, 4175582.852116001, 208797.61491808592, 5408886.583811044, 3955229.925991353, 9658457.682847649, 1855822.1222456, 5109566.051906755, 6116835.144070925, 4704880.028857795, 3969015.0785488193, 8951377.900271174, 7313728.589750688, 11229632.402902713, 5873458.5880492795, 10607141.857788585, 6833660.746431986, 7690867.288245541, 2825950.029376437, 5554475.25866266, 3553714.034376397, 1756827.531048909, 3618160.357131063, 3995445.0327970525, 5965851.996375154, 580747.7696278335]"
12005.0,1,"[885184.9766898552, 3492937.258634846, 846378.8935900843, 5746356.658652841, 8583579.04488268, 2686350.525921383, 8345929.632189154, 2474929.1811821335, 4472934.369787613, 2770908.400028533, 3316254.6418138407, 2495298.556873956, 2901827.401997614, 3958864.405139858, 7119508.207522038, 2774668.8166490365, 5599640.358169653, 3739432.8560474925, 2247518.775442065, 3576469.917210326, 2063713.5716864783, 5471235.858262419, 12100803.695549823, 3723160.8394460557, 1582501.9835755054, 1403244.0295865529, 2139377.628539156, 975107.6026115388, 2923118.24848831, 5490896.700038579]"
12005.0,2,"[9980620.298179358, 4461949.496089078, 3977468.001070852, 10223233.848279038, 3904410.609817393, 7671710.050080117, 3688263.602873231, 5565161.780708594, 3012381.280364433, 2336952.6045404864, 2266460.171070844, 5896544.751480795, 6708868.131734862, 2823359.633028332, 2098301.8158433633, 8602309.268714821, 9165685.167439466, 11772616.346260231, 4075101.921518198, 3092956.1094828336, 3748992.1286049634, 1378962.9159308479, 3555721.533664966, 8088481.74910036, 11552532.358522797, 3609489.431061772, 10684929.494816527, 3214498.0224058637, 5762411.586387242, 11893525.203842688]"
12005.0,3,"[3036418.4053068007, 6550438.047260916, 1912455.4335072269, 6168198.116534672, 17360422.32987517, 15371948.704927282, 4508695.696070562, 9044649.519993376, 4165051.3887410606, 7605797.013241841, 4392441.176494779, 4723369.836219166, 5076259.324688896, 6916953.8015528815, 6342576.897388751, 1713008.3517227296, 6836513.385906533, 8014810.892228355, 4888791.435583218, 5121939.74057104, 3725016.634407511, 1062856.3491446865, 4886898.531885947, 8324762.61938451, 7764774.192265149, 2816716.257950041, 3265950.1420876016, 5223446.3433166295, 4621765.9492567275, 3372706.809325781]"
12005.0,4,"[9086443.908829974, 2243683.834453982, 8463771.46092874, 5595144.521166403, 3900606.8399712197, 2089414.1512907196, 1659338.600104325, 10846561.317190519, 5320139.928466344, 7924786.753935775, 1980153.4301063367, 1673445.0630174743, 4476637.477437321, 3031185.4756153696, 3081716.9338309765, 2873801.979551848, 1964927.9968467287, 2508748.106979482, 6659556.672906872, 1012153.4442401825, 4332102.751744124, 9673329.798489634, 8757222.484697508, 6297271.970369918, 6564813.140934926, 7050594.898306326, 11851329.23511257, 5551152.280980227, 3803639.914535389, 2532122.3115764507]"
12005.0,5,"[2909053.4026593193, 4279824.847521722, 3658887.356311254, 3348040.2260612138, 2677467.637192439, 4324007.00146104, 2176237.219900072, 2783556.430943975, 8899077.832504993, 966225.1868370307, 3890857.823089828, 7379389.8228552835, 4974285.020653563, 16823544.67758337, 3736626.1370470948, 5281912.395250996, 6308328.919965549, 12693266.783946015, 5397709.341979127, 3692750.250795617, 3559310.745886865, 4323812.351048225, 7000603.359443392, 4796287.48316764, 3200982.352277746, 2977314.8340006215, 12607938.402625488, 6397214.6681717355, 2767974.1585335946, 3004080.9548284304]"
12005.0,6,"[6837714.890851339, 4243254.276956447, 6523479.003218719, 4493647.22951751, 12811800.10964888, 2949998.0940790973, 3197392.547073443, 9916242.420775272, 5786231.504693878, 15266861.470512286, 5902262.907837878, 8587222.694410194, 6731120.331597534, 4753331.4606658425, 4866899.157050746, 4600718.647458395, 4356222.491136259, 1105153.9038685388, 4255899.750574468, 2654987.268219298, 421401.5100384638, 13621380.142267233, 8830567.508506237, 7565607.714509876, 4570765.779202982, 7324322.414753989, 8075296.865333862, 6209750.345663422, 2564285.433916802, 237899.8036912119]"
12005.0,7,"[6542099.303548153, 2154074.986269115, 3300210.821320931, 1821420.3965353342, 12171931.49802481, 4439416.407838721, 3375156.781751272, 4999767.889989384, 2123363.2570479475, 6690022.940897072, 4745177.563867648, 3684906.685678626, 2721438.236497317, 3048961.1287609735, 1255967.7998886248, 2417442.448709378, 4828131.609741566, 7421849.45329531, 6302073.896094254, 5702636.786698098, 1279987.6684521185, 12183568.51382877, 4637441.12155269, 2251608.67340544, 7240479.523327218, 9586854.318568546, 1064129.5658950894, 7299187.06246857, 5825848.698771253, 3050419.7986563495]"
12005.0,8,"[12020186.195003586, 2248496.796678555, 8810989.170051266, 7205315.87374117, 8816986.638811896, 10176611.666503517, 6067452.664764445, 9349544.005152222, 12074592.787215283, 1473341.6113669558, 5344202.333715329, 3662228.4751240877, 3196603.2807508637, 4732262.808752315, 2800622.560435941, 3446352.575286384, 16036712.37227591, 870839.5098055226, 3723479.061892393, 3827308.618704902, 9805595.271007566, 8593452.404685207, 11624283.150405975, 2740732.3558836915, 7061460.411209119, 3353125.563772569, 3726259.584763323, 9644057.471720397, 7138806.72635825, 5766714.393834041]"
12005.0,9,"[3691645.1250936287, 6059458.9242445, 8258217.917886424, 2319522.9017922813, 1945902.7186838777, 820389.4790047406, 1174987.7343767232, 10000568.015040312, 11763603.576980501, 3503254.899623629, 7522799.955830141, 6003979.562379419, 4693467.667060017, 7494997.540775366, 7200635.631215013, 12163516.502139743, 970802.4541078014, 13244836.261404373, 4675273.079103552, 1409556.307201077, 1462518.5183063757, 6852614.0819746815, 4051274.5814636247, 2528495.4240485993, 12825878.971879214, 6861393.964481457, 8738117.845859328, 5641166.629929745, 9859950.781821098, 5779608.612457572]"
12007.0,0,"[8635.980785174224, 1.2222499715241036e-06, 118173.83476355311, 3867.0352474909314, 1311.2851100520493, 3646.5096407514397, 45.225579045617074, 21443.065609848745, 0.008653087662195195, 25649.619093864152, 0.0, 0.0, 111377.48102066533, 91.74207756481385, 0.0, 18795.95627275357, 23456.51040526638, 0.03719917302770286, 7172.246714595044, 323458.4483871668, 13152.024743635897, 2850.7937294842513, 10971.722395247245, 29560.103274911922, 62644.601836483125, 0.0, 0.0042099788085912795, 43.51996719029055, 0.00010629714120535575, 0.0]"
12007.0,1,"[10.233876469009275, 0.0, 291.93056363600965, 9912.213104885606, 190843.27693360363, 19467.843270587735, 0.0, 8.928540965286599e-07, 194.3380391525016, 1245.9996611916283, 1773.6925659469832, 91719.51474097173, 3.9626606301012974, 1.515338227859158e-06, 32.396482508764905, 189340.10753824151, 2168.2484548512975, 2186.5197655814577, 25905.961568777268, 154127.440772954, 38548.806102137794, 8938.27556671115, 321.9696373090844, 0.0, 0.0, 0.0, 0.0, 13233.43116699804, 0.00019222184489401864, 10556.027760274534]"
12007.0,2,"[1.3665465217076955, 4140.10172163869, 1718.2678064313916, 342.07964212723425, 0.09037785796883856, 14194.762533389285, 11.185257214536879, 71169.06569435293, 0.0, 0.0, 0.0009292026354575453, 1.0113285672332848, 117460.32918324793, 11316.2017520515, 9162.345944971714, 1227.1253320865628, 1.3553869788476187, 30985.52470572951, 443.99749542918585, 1207.6101317946955, 38895.62908145443, 7.19791070515273e-08, 0.22657431343604226, 95535.00789746878, 6087.889714966855, 85.642401931045, 3819.295754466215, 8117.966626397632, 63.76881395639543, 38154.73069245205]"
12007.0,3,"[0.0, 66217.43963180471, 0.0, 0.0, 26.073490750711375, 1582.1191413977954, 0.0, 9966.8085960268, 6.140566411505995, 1639.3185794981507, 6987.738351208929, 6301.466228688067, 5.948672894401331e-09, 48762.6412079369, 240190.78295507847, 244.30207861166585, 8445.08736213159, 2413.4782315797343, 0.0, 260126.27053323793, 35315.11826391913, 2298.8432514353367, 1240.1736066265423, 0.0, 25197.015383804417, 13256.168983535033, 0.0, 19721.01082662119, 87621.85596004047, 32.580781081229254]"
12007.0,4,"[1.0310383692566895e-05, 15147.38341233477, 0.0, 5305.672391200662, 2085.5425276720366, 815.4631683590303, 2.349486632641784e-12, 5041.897555532138, 1487.893447069667, 0.10935728732271699, 10.087808994688723, 5142.6159722892835, 177319.84525010394, 29779.675557840197, 5627.078439996578, 74.62630440913779, 5662.567752366806, 0.03158631841596542, 51667.73876780523, 25.46533084130281, 0.0, 199451.5898986093, 144653.29051919162, 24198.395283277234, 1.004049789931917e-05, 2195.3706117905926, 51118.15178526776, 0.17464128776115445, 127890.26550769694, 27273.630383314237]"
12007.0,5,"[2867.0634515583156, 2344.689577845037, 44711.20948358254, 586.3393220597576, 283.2482405359934, 21926.094146399504, 115.77551678483994, 45196.05346574092, 20153.37321040734, 0.0, 0.0, 293.6768508219482, 37542.45859592224, 4104.500919611054, 3057.8818104275174, 93546.29388965103, 56131.51567553051, 1627.6340200529617, 0.0, 0.0, 35848.17098484892, 5335.359268011546, 133.0140209889324, 8965.845497819571, 0.0060256532591343925, 21916.765516693744, 0.0004607141819149342, 494.51234801793015, 7818.270993440715, 11407.819516098883]"
12007.0,6,"[14241.413205610932, 188.57734460799568, 9692.297624350931, 3254.8863724749353, 146866.47715157198, 0.0, 89.93176638471161, 11667.076793057982, 17691.16533289355, 40575.432359517, 18038.532406265316, 26544.506516791553, 608.0623427211915, 6222.102230508266, 31188.040243366362, 1.1167659689746199e-06, 1165.6261042032065, 0.000273214597204002, 686.4509975174296, 5890.104108310658, 0.0, 18816.04623289893, 322.0892262040281, 1565.207511878894, 1.7272330463891593e-05, 21361.42320302707, 105316.67990088751, 10040.575413352737, 37876.11330175067, 107.05876568205201]"
12007.0,7,"[0.0, 0.0034986224879204834, 53044.14050225107, 85591.7407987575, 2.3252219767316e-05, 60576.305374642056, 0.02331180642919258, 107.7629893370188, 0.0, 6525.341867536255, 0.6817016257345526, 24472.15640169481, 735.0106999775431, 45310.975115446374, 13761.686301236628, 0.0, 18999.735016925195, 19966.108959971134, 12810.937712939478, 8.10810783454549e-17, 163766.21563175216, 94806.84696887554, 25540.636290953287, 1.1978198950604022e-05, 0.0, 759.6114375751823, 0.5845758307045582, 0.01318566437528223, 71.69202011075994, 1.0285191727866072e-09]"
12007.0,8,"[4.878528720020044, 209795.06937430502, 5801.693629880752, 207990.9212953924, 109120.52393065393, 149646.4575616631, 81909.44165504057, 59806.089463842174, 169097.4894940595, 3313.9628974765283, 71.49567443250994, 20042.8869591302, 35512.4746804776, 6.853829821651118e-05, 6526.555985357413, 2.5258584773427204, 115640.61885498653, 0.0, 4453.411002562223, 89.83347909646166, 60795.475460221496, 63968.66719898192, 32402.65253035403, 47910.76989281735, 0.016773756485162872, 0.0, 0.0, 11803.680331031803, 2.1956814451346824, 3628.2084153652827]"
12007.0,9,"[0.0, 114596.03808601052, 89389.20912788619, 29.361732326973264, 1.2040270441715143e-09, 1.0018923113422963e-05, 3.221439983406093, 34288.97388763993, 84655.2607402401, 69175.82400005791, 201534.8395427254, 66.40209318897142, 0.009196493682687957, 28705.979043209794, 628.092698314884, 244766.23324421872, 0.0, 15636.377470204623, 14379.044436872991, 543.3320337698914, 349.0380430386614, 6855.78161512055, 3.7458239910486086e-07, 4.730809767914368e-05, 9757.175797978181, 258.1338883248657, 6792.972108314217, 98243.94115165841, 151288.04003781365, 12353.194376559775]"
12009.0,0,"[641462.6938354089, 371312.83381906943, 1051388.4870087116, 1041045.1440207073, 307433.91823982523, 738606.1256765918, 7326.811679078944, 1107057.0272569563, 1556086.8401473893, 1446885.860525668, 188534.2557389289, 416253.3644316837, 94726.09028614277, 610763.2353143282, 711881.6903650026, 1348062.594694808, 672947.114101908, 2514651.833440003, 591212.9297020176, 797023.3119506034, 1560093.495415646, 766977.6366514522, 584391.2464726605, 459205.8266026404, 422816.6901492528, 184739.8434789548, 1873654.3836138276, 267126.97124945984, 174750.26334979673, 621825.9286361577]"
12009.0,1,"[234677.6967505081, 527745.0859441503, 351242.4967723087, 458938.76238726435, 1461713.2206263505, 664914.9414780823, 766163.6698962905, 724377.0456830227, 215709.5627554829, 420496.193764642, 655230.7301708409, 1253204.2577693842, 710908.7785207189, 155232.21284793213, 2118047.129858798, 57419.65500735989, 1063178.5549148773, 1144807.9325017193, 485175.6830913643, 1741944.2021050479, 851910.4844762441, 1048846.9794136179, 1516045.8790928174, 246602.07419151414, 241180.68890239074, 1161835.9535668099, 511784.0119948397, 353447.634682886, 1123690.1553521482, 1386714.1743775483]"
12009.0,2,"[1024534.6167633593, 1760771.898467798, 427701.31666866614, 785639.1566142765, 613881.6976857462, 3086765.8791388785, 577624.0528209115, 644369.3590775661, 473949.23899402184, 882244.0531189169, 1326822.0933255055, 2670883.046205043, 2062324.1869996681, 261071.79354709966, 1693742.9935288732, 492661.2709873135, 2026628.6844649513, 1345389.1469081647, 559956.4060272495, 1448273.3829827, 441774.38394161273, 153728.88180836276, 1420820.9006767992, 593377.6797119683, 860758.1738783323, 243953.18092634893, 2425405.633993148, 225072.6833554026, 2518449.37408031, 1230883.152111859]"
12009.0,3,"[1731055.0261116223, 1391979.6918515956, 388384.84108792717, 783649.5412067065, 5129257.903290269, 3925879.6700706477, 412232.18866840674, 1711206.956033087, 776112.6931313378, 379861.10741154, 972748.6328323014, 2264390.8352237437, 2298448.543710105, 685985.1712011064, 1124712.09204228, 83592.5297059912, 1062219.333440307, 2460585.073060207, 1032216.3926463019, 501293.67180063506, 1133799.9773442743, 24431.307233859625, 255097.6900394595, 2795054.670019834, 2652761.043396603, 978828.7372846226, 1152137.7304375197, 553266.0297670827, 561717.3605544148, 326545.0673112466]"
12009.0,4,"[3117781.053904701, 133907.47645465998, 1150577.3330265477, 261342.97465794306, 1036636.722100483, 101071.0902285535, 282044.7461253237, 557070.8922552393, 847564.3807689312, 666058.7172093169, 503049.81968112657, 58787.55205347635, 491470.7057545935, 551194.1542115004, 773449.8182186193, 525104.118778239, 534263.4288487482, 238959.12253935708, 354073.3511917463, 280651.34252364753, 1200109.2734184247, 2272231.9062125944, 1416520.1842509308, 722498.1090179004, 194414.98275327927, 940530.166224915, 2709423.670925267, 657015.205670561, 1818125.5671268848, 614792.5538304953]"
12009.0,5,"[578940.7355428247, 638943.0911248263, 1174191.2515129347, 119319.60927653575, 58151.89363440637, 1783255.5582176938, 870008.4456925965, 2158898.7275341297, 469121.76976485347, 109447.74764464675, 100188.04071638879, 1006301.2041928652, 235294.92192263526, 1338033.730355513, 469341.3621947868, 1042786.4169901495, 1118817.936007, 3303040.0737046343, 713227.1775075614, 389414.22619905084, 679639.6839091945, 158616.48677515434, 2031532.3029246407, 608015.0385245004, 944519.7603840693, 446279.784087062, 2763756.7234905693, 498183.06781473197, 534222.7923941955, 809945.8951415954]"
12009.0,6,"[857260.809002081, 1538139.619021157, 356024.07312475436, 1732141.8288960238, 1557993.0408190917, 329798.5067157787, 199403.67377937367, 2582349.645698762, 1698461.696248644, 1782907.2779236678, 982579.50196681, 1546292.0001961004, 552605.9968403215, 394701.5388902999, 605877.1676755094, 52480.47089731368, 939763.4291738991, 273005.31956221216, 1982012.4928721897, 513397.56471625756, 387476.8210849593, 1126995.6985530804, 1228021.9714623296, 2193845.5558363795, 998851.6430813754, 2840282.545679122, 2198244.0252942163, 420678.55184268666, 51252.62148511246, 87906.32961968886]"
12009.0,7,"[427400.23563416145, 420681.8717135717, 230434.85080092083, 940596.356828904, 1743929.2857315084, 1299347.1777342786, 529488.530436286, 384231.0748100238, 162738.39155125708, 265611.03248491295, 459307.82098439964, 263937.21164983744, 585221.5094155187, 475443.5599269759, 359891.99018687266, 160791.11439078636, 968248.7411647743, 312784.4992549788, 742187.312028793, 822090.5638486898, 268935.0878102339, 2268403.281070501, 296385.28757287445, 401462.2990588634, 147736.64402708507, 1644310.7950228546, 420625.6291722532, 536286.9702694828, 1237482.6987435962, 251668.78974556652]"
12009.0,8,"[2509310.0440871962, 303050.60565480875, 204442.93111077792, 1733512.468407738, 1155944.7172429033, 2345901.863578502, 633574.8738036266, 1408881.3128303362, 3368153.32391027, 460766.7449289142, 307372.1538287054, 722969.7217537939, 213948.3753710124, 1398980.9133139646, 238883.35337761746, 814409.2867744403, 3311487.399006182, 95019.88026673863, 897443.4121925745, 478048.60758698906, 2422334.594299268, 1513971.924974725, 2515919.635670266, 44637.841284780334, 871378.790234728, 619745.4031080159, 514637.7755607809, 1748381.0444686643, 463792.7578333854, 825210.8892212546]"
12009.0,9,"[1367332.5010421535, 400568.05417955125, 828430.356160473, 977667.703697908, 951342.7605643544, 200678.8443784807, 222655.204887657, 1028245.831867172, 1239922.1041417609, 1285363.0525456432, 38980.76533372644, 878474.4031564358, 129684.50181931154, 294428.0253126109, 641161.7145940721, 2577370.593756266, 402480.98370281147, 737017.1536279246, 817795.3981653755, 307112.57513615466, 464171.5454470207, 2022836.0454951085, 815079.0549349544, 1094500.5480836537, 1198590.4230289166, 416893.71555601264, 542056.826726908, 2541423.854089673, 326092.6444449085, 309089.3737956978]"
